runtime,#high-level expanded,#high-level generated,#low-level expanded,#low-level generated,solution cost,min f value,root g value,root f value,#adopt bypasses,standard conflicts,rectangle conflicts,corridor conflicts,target conflicts,mutex conflicts,duplicate conflicts,#merge MDDs,#solve 2 agents,#memoization,runtime of building heuristic graph,runtime of solving MVC,runtime of detecting conflicts,runtime of rectangle conflicts,runtime of corridor conflicts,runtime of mutex conflicts,runtime of duplicate conflicts,runtime of building MDDs,runtime of building constraint tables,runtime of building CATs,runtime of path finding,runtime of generating child nodes,num_of_descendants,preprocessing runtime,solver name,instance name
60.0013,411,3276,139811,244744,-1,89,32,89,1,0,0,1,0,1,3275,0,1061,134,54.1473,0.052842,0.031134,0.008926,0.220892,5.14752,0.026151,0.044202,0.005617,0.19542,0.304142,0.343027,3277,3.00E-05,WDG+GR+GC+M+BP+DUP with AStar,input/maze-8-8/maze-8-8-random-18.scen:
60.0026,428,855,284478,342644,-1,105,32,89,23,410,0,2,0,16,0,0,1442,32,55.8636,0.010775,0.001487,0.021392,0.261062,3.35172,0,0.116156,0.003293,0.111521,0.284103,0.288338,888,2.80E-05,WDG+GR+GC+M+BP with AStar,input/maze-8-8/maze-8-8-random-18.scen:
0.000279,1,3,96,196,29,29,27,29,0,0,0,1,0,0,0,0,1,0,0.000112,2.00E-06,1.50E-05,0,1.20E-05,0,1.10E-05,1.20E-05,1.00E-06,2.00E-06,4.20E-05,5.80E-05,2,2.80E-05,WDG+GR+GC+M+BP+DUP with AStar,input/maze-8-8/maze-8-8-random-19.scen:
0.000225,1,3,96,196,29,29,27,29,0,0,0,1,0,0,0,0,1,0,9.80E-05,2.00E-06,2.00E-06,0,1.20E-05,0,0,9.00E-06,2.00E-06,3.00E-06,4.10E-05,4.60E-05,2,2.10E-05,WDG+GR+GC+M+BP with AStar,input/maze-8-8/maze-8-8-random-19.scen:
60.0011,2603,9623,1920983,2392296,-1,106,43,94,386,827,0,40,0,993,4251,0,2573,9121,51.1189,0.940941,0.120562,0.023738,2.58823,3.28462,0.103486,0.160526,0.019435,0.342664,1.41795,1.56402,10150,3.30E-05,WDG+GR+GC+M+BP+DUP with AStar,input/maze-8-8/maze-8-8-random-20.scen:
60.0002,1450,2900,854039,1029940,-1,107,43,94,1,1433,0,2,0,15,0,0,3823,36,54.6555,0.010623,0.004289,0.033056,0.965061,2.85303,0,0.297507,0.013148,0.382839,0.893533,0.905958,2902,2.90E-05,WDG+GR+GC+M+BP with AStar,input/maze-8-8/maze-8-8-random-20.scen:
0.00394,3,5,101,189,19,19,10,19,0,0,0,2,0,1,0,0,3,0,0.00344,3.00E-06,3.60E-05,0,7.80E-05,0.00017,1.40E-05,1.60E-05,7.00E-06,1.00E-05,7.30E-05,0.000116,6,2.10E-05,WDG+GR+GC+M+BP+DUP with AStar,input/maze-8-8/maze-8-8-random-21.scen:
0.003575,3,5,101,189,19,19,10,19,0,0,0,2,0,1,0,0,3,0,0.00312,4.00E-06,6.00E-06,0,6.30E-05,0.000169,0,1.70E-05,4.00E-06,8.00E-06,7.80E-05,9.50E-05,6,2.40E-05,WDG+GR+GC+M+BP with AStar,input/maze-8-8/maze-8-8-random-21.scen:
60.0012,9556,68817,3707495,6236740,-1,58,34,55,35,1255,0,7,0,7,2601,0,10331,38180,46.5743,0.073063,0.445705,0.066903,4.44194,4.70758,0.345622,0.264719,0.103862,0.155939,2.43065,3.03043,68941,2.80E-05,WDG+GR+GC+M+BP+DUP with AStar,input/maze-8-8/maze-8-8-random-22.scen:
60.0005,6031,12004,1016071,1567175,-1,60,34,55,23,5912,0,44,0,75,0,0,14770,118,52.6852,0.01066,0.014527,0.055645,0.720692,5.04993,0,0.433132,0.023548,0.029048,0.639404,0.683773,12094,2.00E-05,WDG+GR+GC+M+BP with AStar,input/maze-8-8/maze-8-8-random-22.scen:
60.0017,2301,18388,616363,955475,-1,60,20,53,3,0,0,3,0,0,18385,0,1670,781,58.6154,0.231247,0.092599,0,0.453812,0,0.070654,0.114499,0.019783,0.038796,0.390372,0.521236,18394,2.70E-05,WDG+GR+GC+M+BP+DUP with AStar,input/maze-8-8/maze-8-8-random-23.scen:
9.46979,122,238,46147,58996,73,73,20,53,4,104,0,5,0,12,0,0,296,0,8.66181,0.000542,0.000301,0.001348,0.019601,0.734271,0,0.01836,0.000449,0.002158,0.026884,0.027803,250,2.60E-05,WDG+GR+GC+M+BP with AStar,input/maze-8-8/maze-8-8-random-23.scen:
60.001,28067,223292,19128750,29358522,-1,68,34,53,50,197,0,3,0,7,215880,0,38907,89571,25.4858,0.317262,1.62311,0.204712,3.90429,10.5975,1.29681,2.8293,0.269043,0.543802,11.511,13.6378,223350,2.60E-05,WDG+GR+GC+M+BP+DUP with AStar,input/maze-8-8/maze-8-8-random-24.scen:
0.514317,65,126,16998,22822,71,71,34,53,10,33,0,5,0,27,0,0,226,3,0.354376,0.003191,0.000167,0.000216,0.011672,0.126875,0,0.005116,0.000177,0.000446,0.010037,0.010542,141,2.20E-05,WDG+GR+GC+M+BP with AStar,input/maze-8-8/maze-8-8-random-24.scen:
60.0003,3444,27462,3929324,5477500,-1,91,54,82,24,1,0,7,0,6,23372,0,7965,18714,36.8394,0.186163,0.249238,0.017312,10.386,8.31926,0.207177,0.677883,0.039255,0.586955,2.77836,3.09098,27595,4.00E-05,WDG+GR+GC+M+BP+DUP with AStar,input/maze-8-8/maze-8-8-random-25.scen:
60.0005,6333,12660,3064523,3779355,-1,92,54,82,1053,6209,0,7,0,117,0,0,19907,389,43.1828,0.028155,0.018082,0.112728,2.82483,9.88508,0,0.987237,0.03204,0.482303,2.20783,2.26261,13949,2.10E-05,WDG+GR+GC+M+BP with AStar,input/maze-8-8/maze-8-8-random-25.scen:
